foodtype,shopname
台湾菜,鑫益台湾胡椒虾(八卦岭店)
火锅,同仁四季音乐主题餐厅(南山LOFT...
粤菜,深运潮州粥(东门店)
海鲜,海仙会SEA FRESH海鲜姿造
西餐,哈帝斯汉堡(海雅百货南山店)
小龙虾,超级龙虾
西餐,速度披萨(皇庭店)
江浙菜,浙礼(科兴店)
川菜,渔语鱼酸菜鱼专门店(皇庭广场店)
火锅,龙记顺和解牛牛肉火锅(上沙店)
川菜,痴鱼-藤椒鱼(购物公园店)
西餐,Ruckerbar诺克餐吧
日本料理,一鱼刺身(桃园店)
面包甜点,I'M BREAD 我是面包
日本料理,伊秀寿司(华强北九方店)
火锅,新起点脆肉鲩火锅
川菜,炭舍(龙岗COCO Park店)
日本料理,牛喜日式无烟炭火烧肉(海上世界...
小龙虾,一起吃小龙虾(白石洲店)
小龙虾,宾赞小龙虾(八卦岭店)
日本料理,HONOKA·田社家(欢乐海岸购物中...
火锅,牛这里清汤火锅
西餐,haxnbauer海森堡现代德国餐厅(深...
烧烤,八零九零碳烤肥牛(福田店)
日本料理,shinya深夜食堂居酒屋
创意菜,miniKor洣咪可创意韩料(购物公园...
东南亚菜,冬阴功
茶餐厅,庭悦餐厅(华侨城店)
